iter	Passed	Remaining
939	8288	529
940	8297	520
941	8307	511
942	8316	502
943	8325	493
944	8334	485
945	8344	476
946	8354	467
947	8362	458
948	8372	449
949	8381	441
950	8390	432
951	8399	423
952	8408	414
953	8418	405
954	8426	397
955	8436	388
956	8445	379
957	8454	370
958	8463	361
959	8473	353
960	8482	344
961	8491	335
962	8500	326
963	8509	317
964	8518	308
965	8527	300
966	8537	291
967	8546	282
968	8555	273
969	8565	264
970	8573	256
971	8583	247
972	8592	238
973	8601	229
974	8610	220
975	8619	211
976	8628	203
977	8638	194
978	8647	185
979	8656	176
980	8666	167
981	8674	159
982	8684	150
983	8693	141
984	8702	132
985	8706	123
986	8712	114
987	8721	105
988	8730	97
989	8740	88
990	8749	79
991	8758	70
992	8767	61
993	8776	52
994	8785	44
995	8794	35
996	8802	26
997	8816	17
998	8825	8
999	8834	0
